ชื่อ	ภาพ	FADlink	ที่ตั้ง	ตำบล	อำเภอ	lat	lon	ประกาศ	ทะเบียน	หมายเหตุ	ลิงก์	GG	number	description	อื่น ๆ
>>> รายชื่อโบราณสถานในกรุงเทพมหานคร (ฝั่งธนบุรี)
[[คลองแม่น้ำอ้อม]]		0005675	–	วัดอรุณ, วัดท่าพระ;<br/>คลองชักพระ;<br/>ศิริราช, บางขุนนนท์,<br/>อรุณอมรินทร์;<br/>ปากคลองภาษีเจริญ,<br/>คูหาสวรรค์	บางกอกใหญ่;<br/>ตลิ่งชัน;<br/>บางกอกน้อย;<br/>ภาษีเจริญ	13.74841	100.462355	ยังไม่ขึ้นทะเบียน<br/>ตาม พ.ร.บ.	-00-0001	<ref>ได้แก่ คลองบางกอกน้อย คลองชักพระ (คลองบางขุนศรี) และคลองบางกอกใหญ่ (คลองบางหลวง)</ref>					
[[คลองคูเมืองธนบุรีฝั่งตะวันตก]]		0005660	–	วัดอรุณ;<br/>ศิริราช, บ้านช่างหล่อ	บางกอกใหญ่;<br/>บางกอกน้อย	13.751409	100.483097	ยังไม่ขึ้นทะเบียน<br/>ตาม พ.ร.บ.	-01-0001	<ref>ได้แก่ คลองวัดท้ายตลาด คลองบ้านหม้อ คลองบ้านขมิ้น คลองบ้านช่างหล่อ และคลองบ้านเนิน</ref>					
[[พระบรมราชานุสาวรีย์สมเด็จพระเจ้ากรุงธนบุรี|พระบรมราชานุสาวรีย์<br/>สมเด็จพระเจ้ากรุงธนบุรี]]<br/>และ[[วงเวียนใหญ่]]	Statue of King Taksin.JPG	0005425	ถนนรอบวงเวียนใหญ่	บางยี่เรือ	ธนบุรี	13.726472	100.493149	ยังไม่ขึ้นทะเบียน<br/>ตาม พ.ร.บ.	1015-00-0010						
[[บ้านเจ้าพระยาประชากิจกรจักร|บ้านเจ้าพระยาประชากิจกรจักร<br/>(โรงเรียนอนุบาลวรรณบูรณ์ศึกษา)]]		0005428	73 ซ.อรุณอมรินทร์ 4<br/>ถ.อรุณอมรินทร์	วัดกัลยาณ์	ธนบุรี	13.736863	100.494048	ยังไม่ขึ้นทะเบียน<br/>ตาม พ.ร.บ.	1015-00-0012						
[[สะพานกรุงเทพ]]	Krungthep rama3 bridges.jpg	0008871	ถ.มไหสวรรย์	ดาวคะนอง;<br/>บางคอแหลม	ธนบุรี;<br/>บางคอแหลม	13.700863	100.492145	ยังไม่ขึ้นทะเบียน<br/>ตาม พ.ร.บ.	1015-00-0016						
[[มัสยิดบางหลวง]]		0008877	151 ซ.อรุณอมรินทร์ 7<br/>ถ.อรุณอมรินทร์	วัดกัลยาณ์	ธนบุรี	13.738048	100.489355	ยังไม่ขึ้นทะเบียน<br/>ตาม พ.ร.บ.	1015-00-0018						
[[วัดกัลยาณมิตร]]	กุฎิสงฆ์วัดกัลยาณ์ คณะ 2.jpg	0000130	371 ซ.อรุณอมรินทร์ 6<br/>ถ.อรุณอมรินทร์	วัดกัลยาณ์	ธนบุรี	13.740188	100.491111	22 พฤศจิกายน 2492<br/>เล่ม 66<br/>ตอนที่ 64<br/>หน้า 5280	1015-00-0020						
[[ศาลเจ้าเกียนอันเกง]]		0008876	582 ซ.อรุณอมรินทร์ 6<br/>ถ.อรุณอมรินทร์	วัดกัลยาณ์	ธนบุรี	13.739953	100.492549	ยังไม่ขึ้นทะเบียน<br/>ตาม พ.ร.บ.	1015-01-0001						
[[บ้านเลขที่ 130 (บ้านวินด์เซอร์)]]	Louis Windsor House.jpg	0008887	130 ซ.กุฎีจีน<br/>(แยก ซ.อรุณอมรินทร์ 4)<br/>ถ.อรุณอมรินทร์	วัดกัลยาณ์	ธนบุรี	13.739794	100.493356	ยังไม่ขึ้นทะเบียน<br/>ตาม พ.ร.บ.	1015-01-0002						
[[วัดใหม่ยายนุ้ย]]		0005423	282 ซ.วุฒากาศ 24<br/>ถ.วุฒากาศ	ตลาดพลู	ธนบุรี	13.71207	100.468744	ยังไม่ขึ้นทะเบียน<br/>ตาม พ.ร.บ.	1015-02-0001						
[[วัดบางไส้ไก่]]		0005430	547 ซ.อิสรภาพ 15<br/>ถ.อิสรภาพ	หิรัญรูจี	ธนบุรี	13.73241	100.489127	ยังไม่ขึ้นทะเบียน<br/>ตาม พ.ร.บ.	1015-02-0002						
[[วัดบางสะแกนอก]]		0005422	154 ซ.เทอดไท 33<br/>ถ.เทอดไท	ตลาดพลู	ธนบุรี	13.716148	100.476375	ยังไม่ขึ้นทะเบียน<br/>ตาม พ.ร.บ.	1015-02-0003						
[[วัดดาวคนอง]]		0005427	160 ซ.เจริญนคร 65<br/>ถ.เจริญนคร	ดาวคะนอง	ธนบุรี	13.695667	100.488343	ยังไม่ขึ้นทะเบียน<br/>ตาม พ.ร.บ.	1015-02-0004						
[[วัดกลางดาวคนอง]]		0008856	219 ซ.เจริญนคร 65<br/>ถ.เจริญนคร	ดาวคะนอง	ธนบุรี	13.696964	100.488373	ยังไม่ขึ้นทะเบียน<br/>ตาม พ.ร.บ.	1015-02-0005						
